Codigo,Codigo/Empresa
AALR3,AALR3 - Alliar
ODPV3,ODPV3 - OdontoPrev
RADL3,RADL3 - RD
QUAL3,QUAL3 - Qualicorp
OFSA3,OFSA3 - Ourofino S/A
JNJB34,JNJB34 - Johnson
HYPE3,HYPE3 - Hypera Pharma
FLRY3,FLRY3 - Fleury
BMYB34,BMYB34 - Bristolmyers
ABTT34,ABTT34 - Abbott Laboratories
CLSA3,CLSA3 - ClearSale
LVTC3,LVTC3 - Livetech
G2DI33,G2DI33 - G2D Investments
IFCM3,IFCM3 - Infracommerce
GOGL35,GOGL35 - Alphabet
LWSA3,LWSA3 - Locaweb
TOTS3,TOTS3 - Totvs
XRXB34,XRXB34 - Xerox
QCOM34,QCOM34 - Qualcomm
ORCL34,ORCL34 - Oracle
MSFT34,MSFT34 - Microsoft
IBMB34,IBMB34 - IBM
ITLC34,ITLC34 - Intel
HPQB34,HPQB34 - HP Company
, - eBay
CSCO34,CSCO34 - Cisco
, - Att Inc
AAPL34,AAPL34 - Apple
LINX3,LINX3 - Linx
POSI3,POSI3 - Positivo Inf
EBAY34,EBAY34 - Ebay
BRIT3,BRIT3 - Brisanet
FIQE3,FIQE3 - Unifique
DESK3,DESK3 - Desktop
VERZ34,VERZ34 - Verizon
OIBR4,OIBR4 - OI
OIBR,OIBR - OI
TIMS3,TIMS3 - Tim Participações
VIVT3,VIVT3 - Telefônica Brasil S.A
TELB4,TELB4 - Telebras
TELB3,TELB3 - Telebras
ATTB34,ATTB34 - Att Inc
AURE3,AURE3 - Auren Energia
MEGA3,MEGA3 - Omega Energia
CEPE6,CEPE6 - Celpe
CEPE5,CEPE5 - Celpe
CEPE3,CEPE3 - Celpe
CEED4,CEED4 - CEEE-D
CEED3,CEED3 - CEEE-D
EEEL4,EEEL4 - Ceee-gt
EEEL3,EEEL3 - Ceee-gt
CASN4,CASN4 - Casan
CASN3,CASN3 - Casan
CEGR3,CEGR3 - CEG
CEBR6,CEBR6 - CEB
CEBR5,CEBR5 - CEB
CEBR3,CEBR3 - CEB
RNEW4,RNEW4 - Renova
RNEW3,RNEW3 - Renova
COCE6,COCE6 - Coelce
COCE5,COCE5 - Coelce
COCE3,COCE3 - Coelce
CLSC4,CLSC4 - Celesc
CLSC3,CLSC3 - Celesc
ALUP4,ALUP4 - Alupar Investimento
ALUP3,ALUP3 - Alupar Investimento
ALUP11,ALUP11 - Alupar Investimento
SAPR4,SAPR4 - Sanepar
SAPR3,SAPR3 - Sanepar
SAPR11,SAPR11 - Sanepar
CPRE3,CPRE3 - CPFL Renovav
CPLE6,CPLE6 - Copel
CPLE5,CPLE5 - Copel
CPLE3,CPLE3 - Copel
CPFE3,CPFE3 - CPFL Energia
CGAS5,CGAS5 - Comgás
CGAS3,CGAS3 - Comgás
AESB3,AESB3 - AES Brasil
NEOE3,NEOE3 - Neoenergia
TRPL4,TRPL4 - ISA CTEEP
TRPL3,TRPL3 - ISA CTEEP
EGIE3,EGIE3 - Engie Brasil
TAEE4,TAEE4 - Taesa
TAEE3,TAEE3 - Taesa
TAEE11,TAEE11 - Taesa
SBSP3,SBSP3 - Sabesp
RNEW11,RNEW11 - Renaova
GEPA4,GEPA4 - Ger Paranapanema
GEPA3,GEPA3 - Ger Paranapanema
CESP6,CESP6 - CESP
CESP5,CESP5 - CESP
CESP3,CESP3 - CESP
CMIG4,CMIG4 - Cemig
CMIG3,CMIG3 - Cemig
AFLT3,AFLT3 - Afluente T
